Format Version,1.23,Take Name,Take 2023-06-26 02.53.05 PM,Take Notes,,Capture Frame Rate,500.000000,Export Frame Rate,500.000000,Capture Start Time,2023-06-26 02.53.05.576 PM,Capture Start Frame,1604334,Total Frames in Take,6959,Total Exported Frames,6959,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1572,Unlabeled 1572,Unlabeled 1572,Unlabeled 1573,Unlabeled 1573,Unlabeled 1573,Unlabeled 1574,Unlabeled 1574,Unlabeled 1574,Unlabeled 1575,Unlabeled 1575,Unlabeled 1575
,ID,"658549E3878145B11EE","658549E3878145B11EE","658549E3878145B11EE","659549E3878145B11EE","659549E3878145B11EE","659549E3878145B11EE","65A549E3878145B11EE","65A549E3878145B11EE","65A549E3878145B11EE","65B549E3878145B11EE","65B549E3878145B11EE","65B549E3878145B11EE"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
127,0.254000,28.120680,-101.128174,157.530151,23.749981,266.895081,281.193665,-1361.490479,224.015671,802.542480,35.076794,10.183797,286.898285
128,0.256000,28.117296,-101.126976,157.531845,23.748362,266.895020,281.192963,-1361.488770,224.022537,802.555359,35.083321,10.181500,286.894135
129,0.258000,28.120216,-101.125908,157.534515,23.750023,266.898315,281.196625,-1361.470215,224.014191,802.537292,35.082085,10.180392,286.894714
130,0.260000,28.119455,-101.126442,157.532547,23.748270,266.896973,281.192322,-1361.448120,224.018723,802.514404,35.083862,10.187055,286.897827
131,0.262000,28.121275,-101.123528,157.529510,23.751007,266.895081,281.192932,-1361.432007,224.016663,802.520630,35.084156,10.193457,286.891632
132,0.264000,28.117945,-101.125031,157.535416,23.754501,266.897461,281.193604,-1361.404053,224.021820,802.498352,35.087566,10.181395,286.898132
133,0.266000,28.117617,-101.124603,157.530365,23.750652,266.897369,281.193939,-1361.385010,224.028900,802.491577,35.085144,10.186921,286.894714
134,0.268000,28.123083,-101.126099,157.532471,23.749445,266.898804,281.190948,-1361.373413,224.027435,802.480591,35.078598,10.185302,286.895813
135,0.270000,28.120222,-101.123077,157.527176,23.750193,266.895782,281.188171,-1361.365845,224.024139,802.487793,35.078125,10.185310,286.893646
136,0.272000,28.114410,-101.122169,157.525772,23.750496,266.895386,281.190613,-1361.343872,224.017807,802.467896,35.080566,10.185152,286.899445
137,0.274000,28.116772,-101.126572,157.526001,23.751322,266.896027,281.190155,-1361.324585,224.023636,802.449646,35.078320,10.190873,286.892395
