Format Version,1.23,Take Name,Take 2023-06-29 04.39.19 PM,Take Notes,,Capture Frame Rate,200.000000,Export Frame Rate,200.000000,Capture Start Time,2023-06-29 04.39.20.428 PM,Capture Start Frame,4625309,Total Frames in Take,21896,Total Exported Frames,21896,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1890,Unlabeled 1890,Unlabeled 1890,Unlabeled 1891,Unlabeled 1891,Unlabeled 1891,Unlabeled 1892,Unlabeled 1892,Unlabeled 1892,Unlabeled 1893,Unlabeled 1893,Unlabeled 1893
,ID,"48572ADDA30E168A11EE","48572ADDA30E168A11EE","48572ADDA30E168A11EE","48992ADDA30E168A11EE","48992ADDA30E168A11EE","48992ADDA30E168A11EE","489B2ADDA30E168A11EE","489B2ADDA30E168A11EE","489B2ADDA30E168A11EE","489C2ADDA30E168A11EE","489C2ADDA30E168A11EE","489C2ADDA30E168A11EE"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
131,0.655000,17.123817,958.807983,306.289703,24.672951,252.345947,409.032379,25.713699,571.021484,392.503998,21.986448,821.067627,378.402069
132,0.660000,17.119518,958.806519,306.288818,24.672213,252.347321,409.032867,25.718538,571.024353,392.502258,21.987347,821.067932,378.401581
133,0.665000,17.120268,958.804993,306.281525,24.675205,252.345856,409.035034,25.715235,571.022278,392.503235,21.984100,821.065979,378.397736
134,0.670000,17.117088,958.808655,306.288513,24.676603,252.348129,409.036255,25.712078,571.021545,392.507874,21.986881,821.065674,378.398254
135,0.675000,17.122875,958.806946,306.288635,24.675692,252.346970,409.036438,25.718878,571.025940,392.505493,21.985889,821.067505,378.402802
136,0.680000,17.118839,958.808960,306.287018,24.679209,252.346756,409.038025,25.712507,571.021851,392.508026,21.985466,821.066040,378.403809
137,0.685000,17.125015,958.809631,306.289948,24.671656,252.344193,409.033844,25.711906,571.020935,392.503815,21.983734,821.066467,378.399841
138,0.690000,17.118912,958.806946,306.286560,24.674847,252.345413,409.031219,25.716328,571.021545,392.500000,21.986143,821.068298,378.401123
139,0.695000,17.119768,958.809143,306.289490,24.671038,252.348633,409.029022,25.715895,571.024231,392.504944,21.985798,821.066223,378.398560
140,0.700000,17.118847,958.808167,306.284973,24.675797,252.347107,409.034882,25.716633,571.022156,392.501678,21.986752,821.065796,378.399963
